case_id,condition,context_budget,final_context_tokens,within_budget
c8f1aeed,flat_transcript_vector,3900,1563,True
c8f1aeed,waggle_production_context,3900,3883,True
c8f1aeed,waggle_temporal_slot_context,3900,740,True
c8f1aeed,oracle_answer_turn_context,3900,260,True
dccbc061,flat_transcript_vector,3900,3043,True
dccbc061,waggle_production_context,3900,3883,True
dccbc061,waggle_temporal_slot_context,3900,432,True
dccbc061,oracle_answer_turn_context,3900,297,True
6aeb4375_abs,flat_transcript_vector,3900,1907,True
6aeb4375_abs,waggle_production_context,3900,3883,True
6aeb4375_abs,waggle_temporal_slot_context,3900,186,True
6aeb4375_abs,oracle_answer_turn_context,3900,2572,True
71017277,flat_transcript_vector,3900,1468,True
71017277,waggle_production_context,3900,2983,True
71017277,waggle_temporal_slot_context,3900,287,True
71017277,oracle_answer_turn_context,3900,346,True
73d42213,flat_transcript_vector,3900,1767,True
73d42213,waggle_production_context,3900,3883,True
73d42213,waggle_temporal_slot_context,3900,376,True
73d42213,oracle_answer_turn_context,3900,1058,True
